name_am,name_en,coordinates
Եղբայրության փողոց,Eghbayrowtyan poghots,"(40.09485565, 44.499655399999995)"
Խարբերդի 14-րդ փողոց,Kharberdi 14-rd poghots,"(40.095858081138694, 44.499347568229865)"
Կենտրոնական փողոց Խարբերդ,Kentronakan poghots Kharberd,"(40.0909719, 44.49849535)"
Կենտրոնական փողոց Խարբերդ,Kentronakan poghots Kharberd,"(40.09062005, 44.49781565)"
Խարբերդի 9-րդ փողոց,Kharberdi 9-rd poghots,"(40.08957555089093, 44.49919412168035)"
Խարբերդի 9-րդ փողոց,Kharberdi 9-rd poghots,"(40.09193484224022, 44.49716363046972)"
Խարբերդի 13-րդ փողոց,Kharberdi 13-rd poghots,"(40.095597299999994, 44.49872625)"
Եղբայրության փողոց,Eghbayrowtyan poghots,"(40.09464705, 44.499250149999995)"
Եղբայրության փողոց,Eghbayrowtyan poghots,"(40.0943128, 44.4985853)"
Խարբերդի 13-րդ փողոց,Kharberdi 13-rd poghots,"(40.09328753300165, 44.49981955272196)"
Խարբերդի 4-րդ փողոց,Kharberdi 4-rd poghots,"(40.0901006, 44.493569199999996)"
Կենտրոնական փողոց Խարբերդ,Kentronakan poghots Kharberd,"(40.0889545, 44.494570949999996)"
Կենտրոնական փողոց Խարբերդ,Kentronakan poghots Kharberd,"(40.0887804, 44.494211500000006)"
Եղբայրության փողոց,Eghbayrowtyan poghots,"(40.090398699999994, 44.49089685)"
Եղբայրության փողոց,Eghbayrowtyan poghots,"(40.0901924, 44.490490050000005)"
Խարբերդի 1-ին փողոց,Kharberdi 1-in poghots,"(40.09083148619127, 44.49026503991228)"
Կենտրոնական փողոց Խարբերդ,Kentronakan poghots Kharberd,"(40.0970652, 44.5103279)"
Խարբերդի 27-րդ փողոց,Kharberdi 27-rd poghots,"(40.09818746034688, 44.50987445736802)"
Կենտրոնական փողոց Խարբերդ,Kentronakan poghots Kharberd,"(40.09752526067305, 44.51126656876497)"
Խարբերդի 21-րդ փողոց,Kharberdi 21-rd poghots,"(40.092182550000004, 44.50740825)"
Խարբերդի 21-րդ փողոց,Kharberdi 21-rd poghots,"(40.09376921907735, 44.507799928682296)"
Խարբերդի 20-րդ փողոց,Kharberdi 20-rd poghots,"(40.093560776935774, 44.50684171433129)"
Խարբերդի 20-րդ փողոց,Kharberdi 20-rd poghots,"(40.09194159160567, 44.508312095421324)"
Եղբայրության փողոց,Eghbayrowtyan poghots,"(40.09107555, 44.49223175)"
Եղբայրության փողոց,Eghbayrowtyan poghots,"(40.090743849999996, 44.49157755)"
Խարբերդի 3-րդ փողոց,Kharberdi 3-rd poghots,"(40.09160314396575, 44.49143869132795)"
Խարբերդի 3-րդ փողոց,Kharberdi 3-rd poghots,"(40.08976768524177, 44.492902349068764)"
Կենտրոնական փողոց Խարբերդ,Kentronakan poghots Kharberd,"(40.093873099999996, 44.503992)"
Կենտրոնական փողոց Խարբերդ,Kentronakan poghots Kharberd,"(40.093499800000004, 44.5033009)"
Խարբերդի 17-րդ փողոց,Kharberdi 17-rd poghots,"(40.09482654999999, 44.50274105)"
Խարբերդի 17-րդ փողոց,Kharberdi 17-rd poghots,"(40.092528761244374, 44.504671431652426)"
Եղբայրության փողոց,Eghbayrowtyan poghots,"(40.0928743, 44.4957955)"
Խարբերդի 8-րդ փողոց,Kharberdi 8-rd poghots,"(40.0915493, 44.49643245)"
Խարբերդի 8-րդ փողոց,Kharberdi 8-rd poghots,"(40.09470091357234, 44.49462431348624)"
Եղբայրության փողոց,Eghbayrowtyan poghots,"(40.09247655537281, 44.495023647364675)"
Եղբայրության փողոց,Eghbayrowtyan poghots,"(40.09887335, 44.50760175)"
"['Խարբերդի 25-րդ փողոց', 'Խարբերդի 26-րդ փողոց']","['Kharberdi 25-rd poghots', 'Kharberdi 26-rd poghots']","(40.10217986206745, 44.50445628028771)"
Խարբերդի 26-րդ փողոց,Kharberdi 26-rd poghots,"(40.09808628604947, 44.50896892688292)"
Կենտրոնական փողոց Խարբերդ,Kentronakan poghots Kharberd,"(40.0891455, 44.4949528)"
Կենտրոնական փողոց Խարբերդ,Kentronakan poghots Kharberd,"(40.0889545, 44.494570949999996)"
Խարբերդի 4-րդ փողոց,Kharberdi 4-rd poghots,"(40.087785350000004, 44.495627549999995)"
Խարբերդի 4-րդ փողոց,Kharberdi 4-rd poghots,"(40.087785350000004, 44.495627549999995)"
Խարբերդի 4-րդ փողոց,Kharberdi 4-rd poghots,"(40.086332549999995, 44.496887599999994)"
Խարբերդի 8-րդ փողոց,Kharberdi 8-rd poghots,"(40.08676535, 44.49701285)"
Եղբայրության փողոց,Eghbayrowtyan poghots,"(40.09399695, 44.497951549999996)"
Եղբայրության փողոց,Eghbayrowtyan poghots,"(40.09363595, 44.49725335)"
Խարբերդի 11-րդ փողոց,Kharberdi 11-rd poghots,"(40.09520940347937, 44.49715425367912)"
Խարբերդի 11-րդ փողոց,Kharberdi 11-rd poghots,"(40.092622767375055, 44.498519605913714)"
Կենտրոնական փողոց Խարբերդ,Kentronakan poghots Kharberd,"(40.095235599999995, 44.5068474)"
Կենտրոնական փողոց Խարբերդ,Kentronakan poghots Kharberd,"(40.09492865, 44.50617765)"
Խարբերդի 21-րդ փողոց,Kharberdi 21-rd poghots,"(40.0959717, 44.505871049999996)"
Խարբերդի 21-րդ փողոց,Kharberdi 21-rd poghots,"(40.09376921907735, 44.507799928682296)"
Խարբերդի 6-րդ փողոց,Kharberdi 6-rd poghots,"(40.09081305, 44.4949595)"
Կենտրոնական փողոց Խարբերդ,Kentronakan poghots Kharberd,"(40.08984865, 44.4962673)"
Կենտրոնական փողոց Խարբերդ,Kentronakan poghots Kharberd,"(40.089494200000004, 44.49562395)"
Խարբերդի 6-րդ փողոց,Kharberdi 6-rd poghots,"(40.088449350000005, 44.496997750000006)"
Խարբերդի 4-րդ փողոց,Kharberdi 4-rd poghots,"(40.086332549999995, 44.496887599999994)"
Միքայել Նալբանդյան փողոց Խարբերդ,Mikayel Nalbandyan poghots Kharberd,"(40.0867413, 44.498644)"
Միքայել Նալբանդյան փողոց Խարբերդ,Mikayel Nalbandyan poghots Kharberd,"(40.08499227623611, 44.49407013164195)"
Խարբերդի 21-րդ փողոց,Kharberdi 21-rd poghots,"(40.089732749999996, 44.50249145)"
Խարբերդի 13-րդ փողոց,Kharberdi 13-rd poghots,"(40.091047599999996, 44.50186050000001)"
Խարբերդի 21-րդ փողոց,Kharberdi 21-rd poghots,"(40.09009368368009, 44.50317580980723)"
Խարբերդի 24-րդ փողոց,Kharberdi 24-rd poghots,"(40.09728075, 44.5075976)"
Կենտրոնական փողոց Խարբերդ,Kentronakan poghots Kharberd,"(40.096341699999996, 44.50896995)"
Կենտրոնական փողոց Խարբերդ,Kentronakan poghots Kharberd,"(40.0959285, 44.50823095)"
Խարբերդի 10-րդ փողոց,Kharberdi 10-rd poghots,"(40.089937473492576, 44.49985807720627)"
Կենտրոնական փողոց Խարբերդ,Kentronakan poghots Kharberd,"(40.08740938126546, 44.49159998093626)"
Եղբայրության փողոց,Eghbayrowtyan poghots,"(40.0955674, 44.50107095)"
Խարբերդի 16-րդ փողոց,Kharberdi 16-rd poghots,"(40.0944531, 44.50204215)"
Եղբայրության փողոց,Eghbayrowtyan poghots,"(40.09578062872982, 44.501481892898376)"
Կենտրոնական փողոց Խարբերդ,Kentronakan poghots Kharberd,"(40.091622900000004, 44.4998044)"
Կենտրոնական փողոց Խարբերդ,Kentronakan poghots Kharberd,"(40.091316, 44.4991756)"
Խարբերդի 11-րդ փողոց,Kharberdi 11-rd poghots,"(40.090347, 44.500504899999996)"
Խարբերդի 11-րդ փողոց,Kharberdi 11-rd poghots,"(40.092622767375055, 44.498519605913714)"
Եղբայրության փողոց,Eghbayrowtyan poghots,"(40.0985832, 44.50696615)"
Խարբերդի 24-րդ փողոց,Kharberdi 24-rd poghots,"(40.09728075, 44.5075976)"
Խարբերդի 24-րդ փողոց,Kharberdi 24-rd poghots,"(40.10027763040053, 44.504786125082724)"
Եղբայրության փողոց,Eghbayrowtyan poghots,"(40.098242328051434, 44.50621209407013)"
Կենտրոնական փողոց Խարբերդ,Kentronakan poghots Kharberd,"(40.092723199999995, 44.50190255)"
Կենտրոնական փողոց Խարբերդ,Kentronakan poghots Kharberd,"(40.0923543, 44.50120525)"
Խարբերդի 14-րդ փողոց,Kharberdi 14-rd poghots,"(40.0914018, 44.5025198)"
Խարբերդի 14-րդ փողոց,Kharberdi 14-rd poghots,"(40.09367005506851, 44.500554857458035)"
Խարբերդի 21-րդ փողոց,Kharberdi 21-rd poghots,"(40.0904486, 44.503834850000004)"
Խարբերդի 14-րդ փողոց,Kharberdi 14-rd poghots,"(40.0914018, 44.5025198)"
Խարբերդի 21-րդ փողոց,Kharberdi 21-rd poghots,"(40.09009368368009, 44.50317580980723)"
Խարբերդի 5-րդ փողոց,Kharberdi 5-rd poghots,"(40.09046095, 44.49428505)"
Եղբայրության փողոց,Eghbayrowtyan poghots,"(40.09143695, 44.4929445)"
Եղբայրության փողոց,Eghbayrowtyan poghots,"(40.09177985279855, 44.49362057321279)"
Խարբերդի 5-րդ փողոց,Kharberdi 5-rd poghots,"(40.092298334009826, 44.49262096015976)"
Խարբերդի 8-րդ փողոց,Kharberdi 8-rd poghots,"(40.08740015, 44.49841475)"
Խարբերդի 7-րդ փողոց,Kharberdi 7-rd poghots,"(40.08879679036286, 44.497681327299674)"
Խարբերդի 8-րդ փողոց,Kharberdi 8-rd poghots,"(40.088864631777554, 44.498765384344836)"
Խարբերդի 11-րդ փողոց,Kharberdi 11-rd poghots,"(40.08849947094245, 44.50201679197844)"
Եղբայրության փողոց,Eghbayrowtyan poghots,"(40.097397650000005, 44.5045521)"
Խարբերդի 20-րդ փողոց,Kharberdi 20-rd poghots,"(40.09590095, 44.504899300000005)"
Եղբայրության փողոց,Eghbayrowtyan poghots,"(40.09684930633767, 44.503609419552006)"
Կենտրոնական փողոց Խարբերդ,Kentronakan poghots Kharberd,"(40.0942299, 44.50470645)"
Կենտրոնական փողոց Խարբերդ,Kentronakan poghots Kharberd,"(40.093873099999996, 44.503992)"
Խարբերդի 18-րդ փողոց,Kharberdi 18-rd poghots,"(40.095187287747066, 44.5034132103423)"
Խարբերդի 18-րդ փողոց,Kharberdi 18-rd poghots,"(40.092836998569645, 44.505237895884655)"
Կենտրոնական փողոց Խարբերդ,Kentronakan poghots Kharberd,"(40.08829285, 44.49320785)"
Կենտրոնական փողոց Խարբերդ,Kentronakan poghots Kharberd,"(40.0881108, 44.4928323)"
Խարբերդի 2-րդ փողոց,Kharberdi 2-rd poghots,"(40.089434407185095, 44.49221722899414)"
Եղբայրության փողոց,Eghbayrowtyan poghots,"(40.0955674, 44.50107095)"
Խարբերդի 16-րդ փողոց,Kharberdi 16-rd poghots,"(40.0962056, 44.5010204)"
Եղբայրության փողոց,Eghbayrowtyan poghots,"(40.09535779784138, 44.500656588796254)"
Խարբերդի 21-րդ փողոց,Kharberdi 21-rd poghots,"(40.092182550000004, 44.50740825)"
Խարբերդի 21-րդ փողոց,Kharberdi 21-rd poghots,"(40.09181275, 44.506546400000005)"
Խարբերդի 19-րդ փողոց,Kharberdi 19-rd poghots,"(40.093219317598425, 44.506034062524215)"
Եղբայրության փողոց,Eghbayrowtyan poghots,"(40.09363595, 44.49725335)"
Եղբայրության փողոց,Eghbayrowtyan poghots,"(40.093265, 44.49653575)"
Խարբերդի 10-րդ փողոց,Kharberdi 10-rd poghots,"(40.09228524006663, 44.49784275718981)"
Խարբերդի 10-րդ փողոց,Kharberdi 10-rd poghots,"(40.094672755398925, 44.49641560072133)"
Խարբերդի 21-րդ փողոց,Kharberdi 21-rd poghots,"(40.089377850000005, 44.5018131)"
Խարբերդի 11-րդ փողոց,Kharberdi 11-rd poghots,"(40.090347, 44.500504899999996)"
Խարբերդի 11-րդ փողոց,Kharberdi 11-rd poghots,"(40.08849947094245, 44.50201679197844)"
Աջափնյակ փողոց Խարբերդ,Ajapnyak poghots Kharberd,"(40.09805928255188, 44.5009561860369)"
Աջափնյակ փողոց Խարբերդ,Ajapnyak poghots Kharberd,"(40.097985053131, 44.49454203276378)"
Խարբերդի 12-րդ փողոց,Kharberdi 12-rd poghots,"(40.0961231254143, 44.49769754611374)"
Կենտրոնական փողոց Խարբերդ,Kentronakan poghots Kharberd,"(40.09062005, 44.49781565)"
Կենտրոնական փողոց Խարբերդ,Kentronakan poghots Kharberd,"(40.090255400000004, 44.497068150000004)"
Խարբերդի 8-րդ փողոց,Kharberdi 8-rd poghots,"(40.0915493, 44.49643245)"
Խարբերդի 8-րդ փողոց,Kharberdi 8-rd poghots,"(40.088864631777554, 44.498765384344836)"
Խարբերդի 14-րդ փողոց,Kharberdi 14-rd poghots,"(40.095858081138694, 44.499347568229865)"
Խարբերդի 1-ին փողոց,Kharberdi 1-in poghots,"(40.09303044869974, 44.491747637785224)"
Խարբերդի 1-ին փողոց,Kharberdi 1-in poghots,"(40.09264736431227, 44.49120228101545)"
Խարբերդի 4-րդ փողոց,Kharberdi 4-rd poghots,"(40.092024687590026, 44.49195588451547)"
Խարբերդի 21-րդ փողոց,Kharberdi 21-rd poghots,"(40.089377850000005, 44.5018131)"
Խարբերդի 21-րդ փողոց,Kharberdi 21-rd poghots,"(40.089732749999996, 44.50249145)"
Խարբերդի 12-րդ փողոց,Kharberdi 12-rd poghots,"(40.0906753, 44.501153349999996)"
Կենտրոնական փողոց Խարբերդ,Kentronakan poghots Kharberd,"(40.0970652, 44.5103279)"
Կենտրոնական փողոց Խարբերդ,Kentronakan poghots Kharberd,"(40.09670865, 44.509646450000005)"
Խարբերդի 26-րդ փողոց,Kharberdi 26-rd poghots,"(40.09808628604947, 44.50896892688292)"
Խարբերդի 9-րդ փողոց,Kharberdi 9-rd poghots,"(40.09501132660167, 44.49543734725724)"
Խարբերդի 18-րդ փողոց,Kharberdi 18-rd poghots,"(40.09663395, 44.502213499999996)"
Եղբայրության փողոց,Eghbayrowtyan poghots,"(40.0964751, 44.5028359)"
Եղբայրության փողոց,Eghbayrowtyan poghots,"(40.09612975, 44.5021515)"
Խարբերդի 18-րդ փողոց,Kharberdi 18-rd poghots,"(40.095187287747066, 44.5034132103423)"
Խարբերդի 13-րդ փողոց,Kharberdi 13-rd poghots,"(40.091047599999996, 44.50186050000001)"
Կենտրոնական փողոց Խարբերդ,Kentronakan poghots Kharberd,"(40.0923543, 44.50120525)"
Կենտրոնական փողոց Խարբերդ,Kentronakan poghots Kharberd,"(40.0921425, 44.5008103)"
Խարբերդի 19-րդ փողոց,Kharberdi 19-rd poghots,"(40.09674325, 44.5031286)"
Եղբայրության փողոց,Eghbayrowtyan poghots,"(40.0964751, 44.5028359)"
Խարբերդի 19-րդ փողոց,Kharberdi 19-rd poghots,"(40.09553805579688, 44.5041506449706)"
Եղբայրության փողոց,Eghbayrowtyan poghots,"(40.09684930633767, 44.503609419552006)"
Շիրակի փողոց 5-րդ նրբանցք,Shiraki poghots 5-rd nrbantsk,"(40.14230155879502, 44.438103078230355)"
Շիրակի փողոց,Shiraki poghots,"(40.141769526864415, 44.44098648254765)"
Շիրակի փողոց,Shiraki poghots,"(40.14001575002564, 44.438710149983294)"
Ծերենցի փողոց,Tserentsi poghots,"(40.172320049999996, 44.454428)"
Ծերենցի փողոց,Tserentsi poghots,"(40.17108828346005, 44.45403484448694)"
Ծերենցի փողոց 2-րդ նրբանցք,Tserentsi poghots 2-rd nrbantsk,"(40.17203580310834, 44.45284008903574)"
Մանուկյան փողոց,Manowkyan poghots,"(40.170567750000004, 44.451881099999994)"
"['Մանուկյան փողոց', 'Ջիվանի փողոց 1-ին փակուղի']","['Manowkyan poghots', 'Jivani poghots 1-in pakowghi']","(40.169885074383714, 44.45070089331252)"
Ջիվանի փողոց,Jivani poghots,"(40.168638449076326, 44.45282105960225)"
Ջիվանի փողոց,Jivani poghots,"(40.17183812580566, 44.45184870132072)"
Ծերենցի փողոց 1-ին նրբանցք,Tserentsi poghots 1-in nrbantsk,"(40.173562826899996, 44.45361941150417)"
Ջիվանի փողոց,Jivani poghots,"(40.17341875418241, 44.452326842385425)"
"['Ջիվանի փողոց', 'Վանթյան փողոց']","['Jivani poghots', 'Vantyan poghots']","(40.174272441247666, 44.45352049300972)"
Շարուրի փողոց,Sharowri poghots,"(40.1366287309425, 44.456888035745955)"
Շարուրի փողոց,Sharowri poghots,"(40.143319929394735, 44.46532818725473)"
Շարուրի փողոց,Sharowri poghots,"(40.14123277954462, 44.46267972650538)"
Շիրակի փողոց,Shiraki poghots,"(40.14335849681249, 44.46398538624656)"
Շիրակի փողոց,Shiraki poghots,"(40.14251858389414, 44.465067137405676)"
Շահումյան 7-րդ փողոց,Shahowmyan 7-rd poghots,"(40.16395585, 44.45169475)"
Շահումյան 7-րդ փողոց 1-ին նրբանցք,Shahowmyan 7-rd poghots 1-in nrbantsk,"(40.163244134696555, 44.450963532762195)"
Շահումյան 7-րդ փողոց 1-ին նրբանցք,Shahowmyan 7-rd poghots 1-in nrbantsk,"(40.165591261515786, 44.45209746749009)"
"['Շահումյան 7-րդ փողոց', 'Արտաշես Քալանթարյան փողոց', 'Ճառագայթային փողոց']","['Shahowmyan 7-rd poghots', 'Artashes Kalantaryan poghots', 'Charhagaytayin poghots']","(40.16598919607678, 44.44835431204756)"
Ջիվանի փողոց 2-րդ փակուղի,Jivani poghots 2-rd pakowghi,"(40.16584385, 44.452906600000006)"
Ջիվանի փողոց 2-րդ փակուղի,Jivani poghots 2-rd pakowghi,"(40.16534136606899, 44.453056323213914)"
Շահումյան 6-րդ փողոց 1-ին փակուղի,Shahowmyan 6-rd poghots 1-in pakowghi,"(40.16488502973727, 44.45237494911626)"
Շահումյան 6-րդ փողոց,Shahowmyan 6-rd poghots,"(40.1658416, 44.45533655)"
Շահումյան 6-րդ փողոց,Shahowmyan 6-rd poghots,"(40.165352697007215, 44.45423693798488)"
Շահումյան 6-րդ փողոց 1-ին փակուղի,Shahowmyan 6-rd poghots 1-in pakowghi,"(40.166053527697926, 44.454285751285695)"
Ջիվանի փողոց 2-րդ փակուղի,Jivani poghots 2-rd pakowghi,"(40.16584385, 44.452906600000006)"
Շահումյան 6-րդ փողոց 1-ին փակուղի,Shahowmyan 6-rd poghots 1-in pakowghi,"(40.16593024908426, 44.453203882370175)"
Ջիվանի փողոց 2-րդ փակուղի,Jivani poghots 2-rd pakowghi,"(40.166625697450584, 44.45290115217388)"
Շահումյան 7-րդ փողոց 1-ին նրբանցք,Shahowmyan 7-rd poghots 1-in nrbantsk,"(40.165591261515786, 44.45209746749009)"
Շահումյան 6-րդ փողոց 1-ին փակուղի,Shahowmyan 6-rd poghots 1-in pakowghi,"(40.16593024908426, 44.453203882370175)"
Շահումյան 6-րդ փողոց 1-ին փակուղի,Shahowmyan 6-rd poghots 1-in pakowghi,"(40.166053527697926, 44.454285751285695)"
Ջիվանի փողոց,Jivani poghots,"(40.168638449076326, 44.45282105960225)"
"['Մանուկյան փողոց', 'Ջիվանի փողոց 1-ին փակուղի']","['Manowkyan poghots', 'Jivani poghots 1-in pakowghi']","(40.169885074383714, 44.45070089331252)"
Մարշալ Բաբաջանյանի փողոց,Marshal Babajanyani poghots,"(40.220424300000005, 44.576569750000004)"
Մարշալ Բաբաջանյանի փողոց,Marshal Babajanyani poghots,"(40.22038177688842, 44.5754079910681)"
Մուշեղ Գալշոյան փողոց,Mowshegh Galshoyan poghots,"(40.1809137760303, 44.570902922038755)"
Մուշեղ Գալշոյան փողոց,Mowshegh Galshoyan poghots,"(40.17867396513472, 44.56639502334503)"
Պրոֆեսոր Մկրտչյան փողոց,Profesor Mkrtchyan poghots,"(40.1784298460949, 44.5713613768503)"
Հովհաննես Թևոսյան փողոց,Hovhannes Tewosyan poghots,"(40.18474170505374, 44.57269705664777)"
Արտեմ Միկոյան փողոց,Artem Mikoyan poghots,"(40.1840994285795, 44.565482967201866)"
Գայի պողոտա,Gayi poghota,"(40.18941587724615, 44.56774193395694)"
Ազատության պողոտա,Azatowtyan poghota,"(40.201132578262744, 44.52175121729245)"
Ազատության պողոտա նրբանցք,Azatowtyan poghota nrbantsk,"(40.19986742160041, 44.52218026674457)"
Հաղթանակ 14-րդ փողոց,Haghtanak 14-rd poghots,"(40.192819677757164, 44.422456408946545)"
Հաղթանակ 10-րդ փողոց,Haghtanak 10-rd poghots,"(40.19037776800119, 44.424064131130216)"
Հաղթանակ 5-րդ փողոց,Haghtanak 5-rd poghots,"(40.192228850000006, 44.420915550000004)"
Հաղթանակ 14-րդ փողոց,Haghtanak 14-rd poghots,"(40.19237955, 44.421412700000005)"
Հաղթանակ 5-րդ փողոց,Haghtanak 5-rd poghots,"(40.19160638418853, 44.421450830331295)"
Արշակունյաց պողոտա,Arshakownyats poghota,"(40.1293329470769, 44.47856802372824)"
Շիրակի փողոց 2-րդ նրբանցք,Shiraki poghots 2-rd nrbantsk,"(40.144823356469196, 44.46463772982078)"
Շիրակի փողոց,Shiraki poghots,"(40.14335849681249, 44.46398538624656)"
Շիրակի փողոց,Shiraki poghots,"(40.144409135272454, 44.462626838616515)"
Հայկ Հովսեփյան փողոց,Hayk Hovsepyan poghots,"(40.1527671, 44.4765714)"
Արտաշիսյան փողոց,Artashisyan poghots,"(40.15093610546447, 44.47400014067802)"
Չեխովի փողոց,Chekhovi poghots,"(40.15739941471975, 44.48617069674902)"
Մայիսի 9-ի փողոց,Mayisi 9-i poghots,"(40.156108704813505, 44.48733079997274)"
Չեխովի փողոց,Chekhovi poghots,"(40.156977298227226, 44.48563105140021)"
Մայիսի 9-ի փողոց,Mayisi 9-i poghots,"(40.158049007895684, 44.48480397901137)"
Արտաշիսյան փողոց,Artashisyan poghots,"(40.1565981, 44.481496750000005)"
"['Արտաշիսյան փողոց', 'Շևչենկոյի փողոց']","['Artashisyan poghots', 'Shewchenkoyi poghots']","(40.15659533151131, 44.48292341570416)"
Արագածի փողոց,Aragatsi poghots,"(40.157937670812125, 44.482408337170405)"
Մանթաշյան փողոց,Mantashyan poghots,"(40.1563927, 44.48129065)"
Արտաշիսյան փողոց,Artashisyan poghots,"(40.15594452039345, 44.48066088484203)"
Չեխովի փողոց,Chekhovi poghots,"(40.157812750000005, 44.486706)"
Կոտովսկու փողոց,Kotovskow poghots,"(40.157406682155106, 44.487509955721215)"
Կոտովսկու փողոց,Kotovskow poghots,"(40.15878193199367, 44.485962596932985)"
Նոր Արեշի 42-րդ փողոց,Nor Areshi 42-rd poghots,"(40.148341450000004, 44.52750315)"
Նոր Արեշի 11-րդ փողոց,Nor Areshi 11-rd poghots,"(40.14331545, 44.532675499999996)"
Նոր Արեշի 42-րդ փողոց,Nor Areshi 42-rd poghots,"(40.14462005, 44.5315128)"
Նոր Արեշի 11-րդ փողոց,Nor Areshi 11-rd poghots,"(40.14329218757708, 44.5331344670014)"
Նոր Արեշի 42-րդ փողոց,Nor Areshi 42-rd poghots,"(40.14462005, 44.5315128)"
Նոր Արեշի 42-րդ փողոց,Nor Areshi 42-rd poghots,"(40.146753849999996, 44.52922235)"
Նոր Արեշի 9-րդ փողոց,Nor Areshi 9-rd poghots,"(40.14569865, 44.52972335)"
Նոր Արեշի 9-րդ փողոց,Nor Areshi 9-rd poghots,"(40.14623731082267, 44.530602543296844)"
Նոր Արեշի 7-րդ փողոց,Nor Areshi 7-rd poghots,"(40.1473499, 44.52797785)"
Նոր Արեշի 42-րդ փողոց,Nor Areshi 42-rd poghots,"(40.146753849999996, 44.52922235)"
Նոր Արեշի 42-րդ փողոց,Nor Areshi 42-rd poghots,"(40.148341450000004, 44.52750315)"
Նոր Արեշի 7-րդ փողոց,Nor Areshi 7-rd poghots,"(40.14789557883097, 44.52881434576217)"
Արին Բերդի փողոց 3-րդ նրբանցք,Arin Berdi poghots 3-rd nrbantsk,"(40.13054548831319, 44.516043700055384)"
Բուռնազյան փողոց 1-ին նրբանցք,Bowrhnazyan poghots 1-in nrbantsk,"(40.15184685, 44.517211950000004)"
Լորիս-Մելիքովի փողոց,Loris-Melikovi poghots,"(40.15324655087513, 44.517597163412056)"
Լորիս-Մելիքովի փողոց,Loris-Melikovi poghots,"(40.151521334738554, 44.51741795008374)"
Մուրացանի փողոց 1-ին նրբանցք,Mowratsani poghots 1-in nrbantsk,"(40.151568600000004, 44.51572675)"
Բուռնազյան փողոց 1-ին նրբանցք,Bowrhnazyan poghots 1-in nrbantsk,"(40.15186835, 44.516673049999994)"
Բուռնազյան փողոց 1-ին նրբանցք,Bowrhnazyan poghots 1-in nrbantsk,"(40.1518926, 44.516121)"
Մուրացանի փողոց,Mowratsani poghots,"(40.15125656322793, 44.51631314505439)"
Մուրացանի փողոց,Mowratsani poghots,"(40.153297221214146, 44.51649592355743)"
Բուռնազյան փողոց,Bowrhnazyan poghots,"(40.151492700000006, 44.51406385)"
Բուռնազյան փողոց 1-ին նրբանցք,Bowrhnazyan poghots 1-in nrbantsk,"(40.1519594, 44.514392650000005)"
Բուռնազյան փողոց,Bowrhnazyan poghots,"(40.15340442148568, 44.51429129429072)"
Բուռնազյան փողոց 1-ին նրբանցք,Bowrhnazyan poghots 1-in nrbantsk,"(40.15161055, 44.51696275)"
Բուռնազյան փողոց 1-ին նրբանցք,Bowrhnazyan poghots 1-in nrbantsk,"(40.15184685, 44.517211950000004)"
Բուռնազյան փողոց 1-ին նրբանցք,Bowrhnazyan poghots 1-in nrbantsk,"(40.15186835, 44.516673049999994)"
Մուրացանի փողոց 1-ին նրբանցք,Mowratsani poghots 1-in nrbantsk,"(40.1524004, 44.51594145)"
Բուռնազյան փողոց 1-ին նրբանցք,Bowrhnazyan poghots 1-in nrbantsk,"(40.1518926, 44.516121)"
Բուռնազյան փողոց 1-ին նրբանցք,Bowrhnazyan poghots 1-in nrbantsk,"(40.151905, 44.5158111)"
Մուրացանի փողոց 1-ին նրբանցք,Mowratsani poghots 1-in nrbantsk,"(40.1524004, 44.51594145)"
Բուռնազյան փողոց 1-ին նրբանցք,Bowrhnazyan poghots 1-in nrbantsk,"(40.15244425, 44.51491875)"
Բուռնազյան փողոց 1-ին նրբանցք,Bowrhnazyan poghots 1-in nrbantsk,"(40.1519331, 44.51505135)"
Բուռնազյան փողոց 1-ին նրբանցք,Bowrhnazyan poghots 1-in nrbantsk,"(40.1519445, 44.5147657)"
Բուռնազյան փողոց 1-ին նրբանցք,Bowrhnazyan poghots 1-in nrbantsk,"(40.1519445, 44.5147657)"
Բուռնազյան փողոց 1-ին նրբանցք,Bowrhnazyan poghots 1-in nrbantsk,"(40.1519594, 44.514392650000005)"
Բուռնազյան փողոց 1-ին նրբանցք,Bowrhnazyan poghots 1-in nrbantsk,"(40.15142605620369, 44.514633965485956)"
Բուռնազյան փողոց 1-ին նրբանցք,Bowrhnazyan poghots 1-in nrbantsk,"(40.15161055, 44.51696275)"
Մուրացանի փողոց 1-ին նրբանցք,Mowratsani poghots 1-in nrbantsk,"(40.151568600000004, 44.51572675)"
Բուռնազյան փողոց 1-ին նրբանցք,Bowrhnazyan poghots 1-in nrbantsk,"(40.151905, 44.5158111)"
Բուռնազյան փողոց 1-ին նրբանցք,Bowrhnazyan poghots 1-in nrbantsk,"(40.1519154, 44.515495)"
Սասունցի Դավիթ փողոց նրբանցք,Sasowntsi Davit poghots nrbantsk,"(40.154488900000004, 44.5215206)"
Սասունցի Դավիթ փողոց,Sasowntsi Davit poghots,"(40.1545658, 44.5211745)"
"['Կռիլովի փողոց', 'Սասունցի Դավիթ փողոց նրբանցք']","['Krhilovi poghots', 'Sasowntsi Davit poghots nrbantsk']","(40.151140272020996, 44.52116306326445)"
